tweet_text,tweet_sentiment_value
"is the best airline i have flown on. easy to change your reservation, helpful representatives and a comfortable flying experience",2
and again! another rep kicked butt! naelah represents your team so beautifully! thank you!,2
your beautiful front-end design is down right now but it was cool to still book my ticket bc all your back-end was secure.,2
"love the team running gate <> at las tonight. waited for a delayed flight, and they kept things entertaining",2
use another browser! <> and a brand with a reputation built on tech response doesn't have a cross-browser compatible website?,0
"and now the flight flight booking problems site is totally down. folks, what is the problem?",0
i like the customer service but a <> minute delay just for connecting passengers seems too long. <>,0
thanks to your outstanding nyc-jfk crew who moved mountains to get me home to san francisco tonight!,2
you have the absolute best team and customer service ever. every time i fly with you i'm delighted. thank you!,2
"do you provide complimentary upgrades to first class, if there are available seats?",1
i need to change my flight thats scheduled in <> hours and <> minute wait time on phone. im calling intern. help!,0
completely awesome experience last month bos-las nonstop. thanks for such an awesome flight and depart time. vabeatsjblue,2
how can i watch the <> on my jfk- sfo flight?,1
is flight <> cancelled flightled and what do i do if it is?,1
you are failing your customers because your check in process does not link to tsa pre-check.,0
us too! terrible airline! just gave us a hotel hotline number and said sorry,0
has flight number <> from sfo to cabo san lucas arrived yet?,1
your assistance yesterday when you cancelled flightled our flight was to give us a hotel hotline shame on you!,0
another delayed flight? likingyoulessandless,0
i need to register a service dog for a first class ticket from sfo dulles. the phone queue is an hour or longer. please advise,0
you rock for making it so i can watch oscars on my flight! redcarpet oscars <>,2
", dropped a track on you.",1
always! xoxo,2
why can't we book seats on your flights when we buy them or even during check in? creates so much anxiety! frustrated,0
you'd think paying an extra <> bucks rt for luggage might afford you hiring an extra hand at lame,0
best customer service rep in the world! irmafromdallas takes the cake!,2
can you find us a flt out of lax that is sooner than midnight on monday? that would be great customer service grinning face with big eyes,1
please provide status for flight <>. i cant imagine it's on time as the web indicates dude to weather here andor dallas,0
you have amazing staff and super helpful as i just ran the princesshalf they have spoiled me with comfort!,2
"i paid the premium to fly you across the country, you cancelled flight my flight and offer no check fee or upgrade love? sad face bademoticon",0
question is it not possible to book a seat for an infant under <>? it's not giving me the option but we want a seat for him.,0
always have it together! you're welcome! rt you're so welcome.,2
flight home to dc sunset globe in' backtowinter back to work! refreshed,2
. i don't understand why you need a dm to give me an answer on if you have a damaged luggage policy.,0
. does that mean you don't have a policy for destroyed luggage?,0
is there special assistance if i travel alone w<> kids and <> infant? priority boarding?,1
thank you for checking in. tickets are purchased and customer is happy -,2
is your website ever coming back online?,1
"- is flight <> from love field to sfo definitely cancelled flightled for monday, february <>?",1
is flight <> out of lga to dfw on time?,1
my drivers license is expired by a little over a month. can i fly friday morning using my expired license?,1
having problems flight booking problems on the web site. keeps giving me an error and to contact by phone. phone is <> minute wait.,0
how do i reschedule my cancelled flightled flights online? the change button is greyed out!,0
"i rang, but there is a wait for <> minutes! i can book the same ticket through a vendor, fix your site",0
"got a flight we were told for <> today., checked my email and its for <><> tomorrow. this is unacceptable.",0
"our flight into lga was cancelled flighted. we're stuck in dallas. i called to reschedule, told i could get a flight for today.<><>",0
why don't any of the pairings include red wine?! only white is offered bademoticon redwineisbetter,0
is the website down?,0
- your site seems a little wonked right now. may want to have a look. tried on two browsers. no css?,0
i'm disappointed that the agent at the designated silver status check in line airport closed to assist all pasengers,0
plans to include austin to its dallas route - topnews arab emirates,1
is it normal to receive no reply from central baggage baggageissues smh,0
at logan airport and waiting to checkin for my <> flight. checkin desk not open ! why?!,0
to jump into the dallas-austin market - news,1
"beats eps views, takes on va luv - investor's business daily",1
lister to my show my on monday <> <>,1
to begin dallas-austin flights in april - <> ketr,1
"congrats, you just got all my business from ewr to sfolax. fuck you <> sfoewr was the clincher.",0
i applied over <> weeks ago. haven't heard back and i'm flying this week disappointed,0
i'd love to know what your policy is for damaged luggage.,1
thank you for the follow,2
- too many apologies! you r the worse airlines! don't even respond to your cudtomers,0
shame on va for making people spend money in stranded cities when other airlines are landing at jfk! who will reimburse me?,0
i dm you,1
can you please have flights in sjc ? i have no choice but to fly southwest to vegas weary face loudly crying face,1
too bad you say it takes <> to <> days via your confirmation email. when i inquired after <> weeks you claim <> to <> weeks!,0
flight from bos las tomorrow was cancelled flightled. no notification wait times are <> hour. will you rebook on another airline?,0
smiling face with sunglasses rt youve met your match. got status on another airline? upgrade restr,2
only way to fly! elevate gold,2
if only you guys had flights from cmh.,1
"a lot of ""apologies"" being thrown out to customers from what i can see. very sad. thanks for nothing. worst airline ever.",0
for all my flight stuff wrong and did nothing about it. had worst flight ever,0
having an issue finding a missing item on a plane. can you help me find which airport my plane headed to next?,1
you will match my lines status? cool!,2
you've met your match. got status on another airline? upgrade es ar ? hear-no-evil monkey,1
trying to book a flight with you guys and your website won't let me. about to lose my business,0
you suck!,0
thanks!,2
just dm'd. same issue persisting.,0
because we never rec'd cancelled flightlation notice we were left w no options to fly out of ps. driving to la for a red eye mon w kids,0
trying to book a flight and your site is down beaming face with smiling eyes,0
you have any flights flying into boston tomorrow? i need to be home and you cancelled flightled my flight and didn't do anything,0
you stink. flight cancelled flighted from psp to jfk and no notification or ability to rebook disappointed. expected better,0
i love your guy's song! we're dancing to it for our high school dance revue,2
your website is down and i'm trying to check in!,0
"done! thank you for the quick response, apparently faster than sitting on hold goodemoticon",2
nervous about my flight from dc to lax getting cancelled flightled tomorrow! just sent you a dm to help me!,1
cool picture of another plane off our wing. what a site!,2
keep up the great work goodemoticon,2
my goodness your people field are amazing under pressure red heart from texas beatstheothers in crisis please fly me to ny,2
thanks for a great flight from la to boston! pilots did a great job landing in the snow. can we go back to la now? seriously,2
can you please get me to the new york area before monday afternoon,1
"thanks so much for the awesome support, you guys rock!",2
seats in row <> don't recline should mention that on your website soreback,0
flight <> delayed <> hours in la due to mechanical problems. handle like pros but you could have tossed us a free drink.,0
why cancelled flight flights today? no precipitation to be scared of! snowflake snowflake snowflake,0
twitter team. you guys killed it for rescheduling me asap. thank you!,2
you guys charged me <> to reschedule a flight that was then cancelled flighted and are now refusing to refund it. what's the deal?,0
cant access your website from safari on iphone <>. seems to work on mac and ipad. need iphone to add passbook.,0
"on ipad and iphone, clicking the checkin link in the email i received at <> before flight",1
"your mobile site is broken, shows ""header. elevateuser. numofpointsavailable '<>' number points"", won't let me checkin",0
i was really looking forward to my flight. can you let me know when it will be rescheduled? diehardvirgin,0
"why cancelled flight flight <>? one sec its delayed, on my to airport, the next its cancelled flightled? gonna email or call me to reschedule?",0
i did it but there was a problem in the link from the email for check-in. thanks,0
had to change to another airline to get to dc today . why is able to land in dc but not you? cost me <> . ugh,0
i was so looking forward to my first flight with you today but it was cancelled flightled along with the subsequent one .,0
when are you putting some great deals from pdx to las or from las to pdx show me your love!,2
wish i can afford to fly with you next friday going back home. love everything about your airline,2
how are you gonna have a deal from dallas to dc but no deal from dc to dallas? sad,0
"its just a bug report, guys",1
hold times at call center are a bit much,0
like,2
site down? help,0
you have the best flight attendant ever!,2
"awesome! rt watch nominated films at <>,<> feet. meetthefleet oscars",2
thanks so much!,2
"trying to reset my password, email never arrives. help?",0
", the only airline based in silicon valley! disruption fcmostinnovative incubator 's",2
very nicely done. clapping hands,2
im looking forward to watching the oscars on my flight home tomorrow. i might even get something bubbly to drink! goodemoticon,2
what is the reason for the delay of the departure of vx <> from jfk this afternoon?,0
"is todays flight from palm springs, ca to jfk in ny cancelled flightled?",0
hahaha face with tears of joy you guys are amazing. i love you guys! growing heart,2
sounds like fun !,2
any updates on flight <> from jfk lax,1
spruce moose!,1
"the css on your site is a <> right now, please fix. site unusable.",0
"we're on flight <> vegas to boston today, checked in online but our bag count didn't register. can i fix that somehow?",0
"classiq, luv virgin america. greetingz",2
"hi, i'm trying to do check-in but the website is not working. i tried <> different browsers and the problem continues",0
thanks for your great customer service today and for helping me get all my travel sorted out!,2
thanks guys! sweet route over the rockies airplanemodewason,2
love the <> music blasting at gate in boston while waiting for flight to sanfrancisco. only if i could get an iced coffee!,2
"- the passenger in <>, flt <> that assaulted me shouldn't have flown. i trust he's banned. crew filed report to",0
current bug on website shows select departure city when selecting destination city,0
luggage was severely dentedmissing wheel coming off baggage claim in san. luggage agent miranda i think wasn't any help.,0
"thank you for the easy itinerary shift for impending weather. quick, painless and free.",2
"if you'd love to see more girls be inspired to become pilots, rt our free woaw event march <>-<> at abq.",1
thanks! good times there and back! vodkatonics the entire flight cocktail glass sfo,2
"beats expectations, shares take off - santa cruz sentinel",1
any plans to start flying direct from dal to las?,1
big lovegratitude. mpower w werin <> vipswagbags avalonhollywood,1
", you're doing a great job adding little luxuriesaesthetics that improve the air travel experience. thank you. keep it up!",2
requested window seat and confirmed window but got stuck in middle seat. not a good way to treat silver member unamused face,0
grand budapest hotel oscarscountdown,1
this is what you missed . next trip to the <>.,1
wtf i paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience!,0
there is something wrong with you website in safari iphone,0
thanks for gate checking my baggage on your full flight dfw-lax <> and giving me early boarding too sweet,2
already checked in so the page expired x,0
boo for a not refunding a seat upgrade fee i did not want to buy in the first place!,0
shares rise on <> financial results - usa today,1
adds pillows instead of lie-flat seats in first class arms race,1
i see what you did there goodemoticon,2
way to take advantage of mayweatherpacquiao goodemoticon,1
you know i'm flying virgin for the fight mayweatherpacquiao,1
your inflight team makes the experience amazing!,2
cutest salt and pepper shaker ever. just when i think you guys can't get any better you just do!,2
"moved my seat with no notice. ""better seat"" is cabin select not behind the row i selected thumbs down disappointed",0
shares up on <> results -,1
fav airline,2
we have a hot female pilot! sweet! dca to sfo! goodemoticon,2
thumbs up thumbs up airplane airplane growing heart when are you guys going to start flying to paris? you're welcome.,1
what is your policy on flying after surgery? i am still waiting for answer so i can tell me doctor.,1
already contacted central baggage and sent dm. is charging me for the dress that was in the lost suitcase help,0
thank you!,2
is there anything going on with the website? i've been getting a lot of errors past <> minutes.,0
i think i left something on the plane yesterday. who do i call. ah!,1
i need you to follow back in order to dm.,1
need to start flying to . smiling face with smiling eyes grinning face grinning face with big eyes grinning face with smiling eyes,1
they told to check with the airline regulation first so that is why i contacted you.,1
i have just checked in flight to sfo from lax and been told as atlantic flying club gold i get no benefits?!,0
husband and i ordered three drinks via my screen and they never came. awesome!,0
soooo are you guys going to leave the seatbelt light on all flight? you can barely call this turbulence goodemoticon,0
what is your policy on flying after surgery?,1
posts second consecutive full-year net profit -,1
"funny story, your website is broken, you have missing javascript and stylesheets on the checkin process. i dislike this!",0
would love to do more for virgin just like i do for,2
results handily exceed forecasts -,1
"i applied for a position in , and i was wondering if you guys received my application.",1
achieves a second year of profitability despite revenue pressure . - aviation,1
"gives positive outlook, but sees increased competition -",1
i'm trying to check into my <> ct flight tmm on the desktop website and it's not working some sort of caching bug sos,0
weather delays next few weeks goodemoticon jfk bos dca,1
check the website before you go to the airport!,1
do you guys know your check-in links from emails are broken?,0
pilot says we expect a choppy landing in nyc due to some gusty winds wa temperature of about <> degrees and wthe windchill -<>,1
loved it. can't wait for monday's return flight. mostly just to watch the inflight safety video again. sorrynotsorry,2
"lost my luggage <> days ago on flight vx <> from lax to iad and i'm calling every day, no response. please give me back my stuff",0
the flight booking problems section of your website seems to be broken on chrome. might wanna look into that.,0
hi! just wanted to see if you have any new routes planned this year for newark. love flying you guys and hope to do so more!,2
"i mean. probably inappropriate while on board. but, it's on!",2
happy to spend the day together. let's do this!,2
is saving my sanity right now,1
missed my flight. how does standby work?,1
. they were very understanding and helped me out. thanks! comps,2
brought it all the way across the country today i see,1
thank you! i absolutely will smiling face with sunglasses,2
looks like a broken link for your assets,0
are you ready!? let's say it together. 'noooo turbulence today!' face blowing a kiss,1
the manage itinerary section of your website seems to be broken for me,0
"can't check in, your site looks like this every time it loads",0
can you help this princess fund needs urgent treatment in nited tates <> old battling cancer could you help with flights growing heart freyasfund,1
may start service to hawaii from sanfrancisco this year biztravel,1
other carriers are less than half price for a round trip fare. i am stunned.,0
wtf is happening in pdx late flight march such that one way from sfo is <>?,0
add dtw and i'm sold!,1
how about some free drinks on the flight back for the free promo?,2
thanks!,2
momma i made it! beaming face with smiling eyes beaming face with smiling eyes beaming face with smiling eyes,1
please contact me about portfolio left on flight vx <> from jfk to sfo tonite seat <>. need it returned. call <>-<>-<>.,1
help. i was on flight <> from jkf tonight. seat <> left portfolio. need it back!,1
seattle bound. wifey got me the duffle for vday. she's a keeper! holla!,1
"my luggage is gone. i've filed my paperwork, promised a callemail. still no resolution or response from central luggage.",0
debbie baldwin gave a rockstar performance of the safety demo this evening on <> <> bestcrew sherocks,1
thanks!,2
thanks for taking care of on her flight! rockstars travel,2
thanks for the lovely soft views! travel san to sfo,2
i requested a mileage challenge for status several weeks ago online but haven't heard back. how do i get help with this?,0
"just trying to book tickets to nyc and facing super fun broken styling. don't worry, i'll keep trying goodemoticon",0
"many thanks for the follow.
ourprincess freyasfund usa bandie looking for any help smiling face with heart-eyes growing heart nited ingdom growing heart nited tates growing heart ribbon globe showing sia-ustralia ribbon",1
"nice, lofty view . silverstatus",1
applied for status match on feb <>. got confirmation email same day. still no news though. you guys have dropped ball late flightly sad but relieved face,0
is my new go to airline,1
can you help ourprincess in need of some help in usa ribbon nited ingdom ribbon nited tates ribbon,1
"i adore you, and am so looking forward to my flight to austin in two weeks.",2
i was so glad it was mentioned. i took my first virgin flight a few years back and it was a transformative experience.,2
flight booking problems flight to uphold my status match. do taxes on ticket count as earned status points? statusmatch,1
trying to check-in. but looks like your site is down?,0
"spending my birthday night with you, dal-dca. get me home!",0
sent a couple messages to the email you provided but to no avail. will try again next year. cheers.,0
"first time flying virgin, went to sanfrancisco . thanks for the smooth ride. easily my new fav airline!",2
"seriously, though. will there not be direct flights from sfo-fll in may?",0
it's fine. already done with my purchase. but you should try it. just go most of the way through then go back <>,0
"not really the experience i was hoping <>, i ws forced <> check in a small carry on, w nothing but empty cabin space on board",0
wjere is our luggage so slow at lax,0
to jump into the dallas austin market,1
"i spoke with a representative that offered no solution, i am a loyal customer who flies on as well",0
i am deeply disappointed that your birthday promo was not applied to a trip i booked mere days before i received the email,0
"what happened to direct flights from sfo-fll? looking in may, only see connecting help dontdothistome",0
. can you help? left my blazer in. kooples jacket bag at <> row second seat from right gate <> <> lax. flight to sfo,1
partners with checkout as mobile payment method to help boost mobile conversion rates etailwest payments visa,1
"just promoting the product is all, had a problem with southwest and recommend noneother than the best!",2
"love you guys, but please get some direct routes las to aus!",2
i would like help with some flights please.,1
bruh turn down for what. vxsafetydance,1
of course! i work for and i'm obsessed with the entire virgin family!,2
ok! first time flying with you tonight goodemoticon,2
digging the swanky pink mood lighting during the flight from nyc to sfo. just needs a cabaret singer. think about it!,1
"done, but i need the receipt asap. could you please help? <>-<>",1
i have <> and <> embossed badges and patches superior to the ones you are currently using.,0
on <> from jfk to la - dirty plane - not up to your standards.,0
on flight <> headed to la from jfk - dirtiest va plane i have ever been on. sad for a great airline.,0
got it squared away. someone picked up as soon as i tweeted. should have tweeted sooner. winking face,2
your avis rental continue button doesn't work on your website to book car. tried <> times on phone. this sucks!,0
delayed <>.<>!,0
currently in minute <> of being on hold with cust. service. do i need to do anything to add a lap child to my reservation?,0
adds pillows instead of lie-flat seats in first class arms race by,1
of course. have fun celebrating! thanks! happy chinese new year!,2
flight booking problems last second flight for next week from sfo- to san any chance you want to gift me a promo code since i love you guys,2
comenity bank is a joke! please change. nothing but constant problems with this bank,0
"i just did, how can i dm? do you have to also add me?",1
"for my grandma ella's <>, she would <> a bday greeting from your flight crew! she was a stewardess for eastern airlines.",2
just bought tix for atx - dallas route - thanks for adding that! love yr airline and yr website is best transactional site ever,2
"anytime, sugafly.",1
gave a credit for my late flight flight yesterday. great service ! that's a wow moment! unexpected gesture!,2
i need a receipt for a flight change. can you send one?,1
", i submitted a status match request a while back and still havent heard! im flying on monday. can you look accelerate?",0
had me at their safety video . . . loved my first cross country flight. livewelltraveled sytycd,2
that doesn't look to fat to me! it looks yummy!,2
ceo says southwest and jetblue have strayed from low cost model.,1
a brilliant brisk am in boston in cue for <>,1
atlantic ploughs a lone furrow in the middleeast,1
atlantic ploughs a lone furrow in the middleeast,1
atlantic ploughs a lone furrow in the middleeast,1
omg omg smiling face with heart-eyes smiling face with heart-eyes nonstop dallas to austin on virgin sparkles face screaming in fear airplane,2
your planes are really pretty. just thought you should know that. goodemoticon,2
when are you flying to hawaii,1
i'm pulling my hair out trying to book a flight with u. your site doesn't work on iphone or ipad. don't have a computer help,0
thank you,2
can i get some help with a support ticket? it's been <> days. incident <>-<> thank you!,0
good to be home texas moodlighting,2
i cannot even open my laptop in seat <> and i paid a premium for this?! let me out of here!,0
i am in seat <> and i cannot even open my laptop and i paid extra for this seat!,0
. if only you guys were starting those flights at the end of the month! guess im still road tripping on feb <>,1
"thanks for that. been needing a way to make those austin trips from dca, and now you've come through!",2
announced new route to austin wfares from <>way.,1
really? sprint? i thought you guys were 'kewl'! <> <>,1
this is too cool! never been on your planes but now i will!,2
you should have <> dollar lax-las fares!,1
great. well deserved.,2
fyi the info. com email address you say to contact in password reset emails doesn't exist. emails bounce.,0
status match - <> weeks have gone by and no news. flt next week - hope flt will count towards requirement. cust svc no help!,0
your website sucks donkey dicks. just thought you should know. all best.,0
you should still develop an app - then you will be my favorite airline.,1
all crap channels which is why i pay to watch uk tv,0
got it. all set - thanks!,2
no a's channel this year?,1
only thing i see on passbook is virgin mobile mexico. how do i integrate?,1
giants and virgin america. a match made in heaven.,2
"thank goodness! also, see you friday, nwk sf. boom!",2
how come you don't have an iphone app? still using and making me waste paper.,0
your back of seat entertainment system does not accept credit cards that have an apostrophe in the surname. apostrophefail,0
when will vx use all <> lga slots instead of <> today? adding aus makes this less likely bademoticon,0
is helping me step up my game! tindertips tinderchamp,1
i luv your people and product! <> thing is y do you charge for herbal tea but not black tea? i'm not a caffeine drinker,2
thank you! see y'all soon! i'm excited to see the expansion of destinations. spread those wings!,2
"announces new nonstop connecting and , <> intro",1
adds austin-dallas love field route.,1
sad to learn you no longer fly sfo phl. hope it returns!,0
"- can you tweet me the cancelled flightchng fee for a flight? or can i rebook under one of your affiliates? if so, who are afiliates?",1
has the most incredible customer service i've ever experienced! so refreshing!,2
"now, when will we see come to philadelphia phl.",1
", am i dreaming? did you really just open up a route between dallas and austin?! and does this mean houston might be next?",2
omg finally,2
to start <> <> flights from to dallas austin on <> avgeek,1
nice to see you expanding in texas but don't forget about us here in sandiego. i would love to see more flights out of here!,1
kinda sucked my earphone jack didn't work on my flight. they may want to look into that for future passengers,0
very poor experience. first computer problem now seat malfunction. stuck. missing meeting in san diego.,0
to battle on - route via,1
thankyou the dal-aus route makes my day!,2
awesome deals dal-aus for only <> each way!,2
i miss the nerdbird in san jose,1
"love it, taking on in their backyard! consumers win when biz competes.",2
is flying from love to austin now. that is most excellent news.,2
can we make every vx plane with nerdbird? why should austin be the only one getting nerd love?,1
please add more frequency to pdx portland,1
congrats vx on the new route! airplane party popper,2
"i tried that. you offered to charge me an additional <> for a new ticket or be stranded until thurs. <> time, last time.",0
can you help with flights to get a <> old battling cancer who needs treatment in nited tates fund growing heart ribbon growing heart,1
"never had a bad experience before, but this one took the cake. now extortion for carry on items as well?",0
had to spend <> hours worrying that items in carryon would be brokenstolen since i couldn't carry them on plane or lock bag.,0
"all of group e was told there was no more room in the bins. when i got on the plane, was room for at least <> bags in my row!",0
thanks for making my flight from lax to jfk a nightmare by forcing me to check my carry on bag at the gate. <>,0
i have lots of flights to book and your site it not working! i've been on the phone waiting for over <> minutes.,0
i am all about the in flight artisanal cheese and wine pairing.,2
does virgin america fly direct from seattle to nyc or boston?,1
that's classy.,2
i'm sure a lot of your <> and <> jfk-lhr flights go a lot faster than <> with a strong tailwind.,2
now it's just t-minus <> minutes until my elevate a silver upgrade window opens . freeneversucks grinning face with big eyes thumbs up,2
save some for <> tomorrow am!,1
why is it taking <> years to fly home to dallas? get your shit together.,0
club virgin is bumping in new york,1
would have been a rough trip but luckily we were on a flight. weather,2
is that thestarter? beaming face with smiling eyes,1
. please come to minneapolis st. paul!,1
yes fyi my bff,1
"another perfect flight. how come on your planes, the sun visors can stay down? other carriers make you raise them?",2
"nice rt the man of steel might be faster, but we have wifi just saying. sciencebehindtheexperience",2
i love the dancing little richard. cool beans.,2
i dont use passbook i still love you though <> goodemoticon ill just use my email in the future.,2
thanks for the free birthday points! y'all are all right with me!,2
do you have an application for ios? was looking and only saw virgin mexico bademoticon <>,1
man of steel flies to more cities though. and with more frequency too.,0
thanks so much for sharing. just added it to my site,2
good point!,1
. i heard he has a virgin mobile hotspot goodemoticon,1
you got cheese plate flights too.,1
on all your flights?,1
dad on segway is the best part of this whole infographic!,2
are there any plans for a short haul airline in europe? would defiantly fly with you guys goodemoticon,2
wifi and better seating.,2
how come abc is the only one of the network channels you don't have?,1
started my flight with a scolding for using an overhead bin that was then offered to the person seated next to me.,0
". not only was it great, but you return my calls the day after. couldn't ask for more. myvxexperience",2
"while other airlines weren't cancelled flighting flights into bos, and helping their customers get home, virgin was saying good luck!",0
